김현욱(金顯煜)사무총장도	김현욱/NNP+(/SS+金顯煜/SH+)/SS+사무총장/NNG+도/JX
최근	최근/NNG
“공동정권	“/SS+공동정권/NNG
합의정신에	합의정신/NNG+에/JKB
따라	따르/VV+아/EM
수도권의	수도권/NNG+의/JKG
양당	양당/NNG
지분은	지분/NNG+은/JX
５대	５/SN+대/NNB
５를	５/SN+를/JKO
기준으로	기준/NNG+으로/JKB
논의돼야	논의/NNG+되/XSV+어야/EM
한다”고	하/VX+ㄴ다/EM+”/SS+고/JKQ
강조했다．<송인수기자>	강조/NNG+하/XSV+았/EP+다/EM+．/SF+</SS+송인수/NNP+기자/NNG+>/SS

[이만섭대행	[/SS+이만섭/NNP+대행/NNG
자민련	자민련/NNP
비판	비판/NNG
파장]2여	파장/NNG+]/SS+2/SN+여/XSN
2000년	2000/SN+년/NNB
새해	새해/NNG
첫발	첫발/NNG
삐끗	삐끗/MAG

결국	결국/NNG
학교를	학교/NNG+를/JKO
자퇴할	자퇴/NNG+하/XSV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없었다．	없/VA+었/EP+다/EM+．/SF

부모들은	부모/NNG+들/XSN+은/JX
이러한	이러하/VA+ㄴ/ETM
문제에	문제/NNG+에/JKB
대하여	대하/VV+아/EM
적절하게	적절하/VA+게/EM
대처하기가	대처/NNG+하/XSV+기/ETN+가/JKS
어렵다．	어렵/VA+다/EM+．/SF

∇Y2K문제에	∇/SW+Y/SL+2/SN+K/SL+문제/NNG+에/JKB
대비한	대비/NNG+하/XSV+ㄴ/ETM
세계	세계/NNG
각국의	각국/NNG+의/JKG
공동	공동/NNG
노력은	노력/NNG+은/JX
21세기	21/SN+세기/NNG
국제	국제/NNG
협력을	협력/NNG+을/JKO
더욱	더욱/MAG
강화시킬	강화/NNG+시키/XSV+ㄹ/ETM
것이다(미국	것/NNB+이/VCP+다/EM+(/SS+미국/NNP
대통령	대통령/NNG
직속	직속/NNG
Y2K위원회	Y/SL+2/SN+K/SL+위원회/NNG
존	존/NNP
코스키넨	코스키네/NNG+ㄴ/JX
위원장，	위원장/NNG+，/SP
1일	1/SN+일/NNB
Y2K대비	Y/SL+2/SN+K/SL+대비/NNG
국제	국제/NNG
공조가	공조/NNG+가/JKS
국경과	국경/NNG+과/JKB
전선을	전선/NNG+을/JKO
넘어선	넘어서/VV+ㄴ/ETM
정보공유로	정보공유/NNG+로/JKB
이어질	이어지/VV+ㄹ/ETM
것이라며)．	것/NNB+이/VCP+라며/EM+)/SS+．/SF

그러나	그러나/MAJ
21세기	21/SN+세기/NNG
최고	최고/NNG
신문으로	신문/NNG+으로/JKB
거듭나기	거듭나/VV+기/ETN
위해서	위하/VV+아서/EM
그	그/MM
노력은	노력/NNG+은/JX
배가	배/NNG+가/JKS
되어야	되/VV+어야/EM
한다.	하/VX+ㄴ다/EM+./SF

옐친의	옐친/NNP+의/JKG
인기는	인기/NNG+는/JX
최근까지도	최근/NNG+까지/JX+도/JX
바닥을	바닥/NNG+을/JKO
헤맸지만	헤매/VV+었/EP+지만/EM
사임	사임/NNG
직후	직후/NNG
실시된	실시/NNG+되/XSV+ㄴ/ETM
긴급	긴급/NNG
여론조사에서는	여론/NNG+조사/NNG+에서/JKB+는/JX
42%의	42/SN+%/SW+의/JKG
국민이	국민/NNG+이/JKS
“섭섭하다”며	“/SS+섭섭하/VA+다/EM+”/SS+며/EM
아쉬워했다．	아쉬워하/VV+았/EP+다/EM+．/SF

이날	이날/NNG
러시아군은	러시아군/NNG+은/JX
체첸	체첸/NNP
수도	수/NNB+도/JX
그로즈니에	그로즈니/NNP+에/JKB
대해	대하/VV+아/EM
수십차례의	수십/NR+차례/NNG+의/JKG
공습을	공습/NNG+을/JKO
가하며	가하/VV+며/EM
스커드	스커드/NNP
미사일까지	미사일/NNG+까지/JX
발사하는	발사/NNG+하/XSV+는/ETM
등	등/NNB
개전후	개전/NNG+후/NNG
최대	최대/NNG
규모의	규모/NNG+의/JKG
공격을	공격/NNG+을/JKO
퍼부었다고	퍼붓/VV+었/EP+다고/EM
외신이	외신/NNG+이/JKS
전했다．	전하/VV+았/EP+다/EM+．/SF

바로	바로/MAG
옆의	옆/NNG+의/JKG
붉은	붉/VA+은/ETM
광장에는	광장/NNG+에/JKB+는/JX
수천명의	수천/NR+명/NNB+의/JKG
시민과	시민/NNG+과/JKB
관광객들이	관광객/NNG+들/XSN+이/JKS
추운	춥/VA+ㄴ/ETM
날씨에도	날씨/NNG+에/JKB+도/JX
눈을	눈/NNG+을/JKO
맞으며	맞/VV+으며/EM
기념사진을	기념사진/NNG+을/JKO
찍기에	찍/VV+기/ETN+에/JKB
바빴다．	바쁘/VA+았/EP+다/EM+．/SF

“오마니.	“/SS+오마니/NNG+./SF
우리도	우리/NP+도/JX
달걀	달걀/NNG
찜	찜/NNG
좀	좀/MAG
해주시라요.”	하/VV+아/EM+주/VX+시/EP+라요/EM+./SF+”/SS

연방정부가	연방/NNG+정부/NNG+가/JKS
99년에	99/SN+년/NNB+에/JKB
연구개발비로	연구/NNG+개발비/NNG+로/JKB
700억달러를	700/SN+억/NR+달러/NNB+를/JKO
쓰고	쓰/VV+고/EM
있는	있/VX+는/ETM
것에	것/NNB+에/JKB
비하면	비하/VV+면/EM
기업의	기업/NNG+의/JKG
연구개발비는	연구/NNG+개발비/NNG+는/JX
두	두/MM
배가	배/NNG+가/JKS
넘는다．	넘/VV+는다/EM+．/SF

그러나	그러나/MAJ
미국은	미국/NNP+은/JX
