콘퍼런스에서	콘퍼런스/NNP+에서/JKB
삼성전자는	삼성전자/NNP+는/JX
전	전/MM
세계	세계/NNG
의료기관	의료/NNP+기관/NNP
및	및/MAJ
관련	관련/NNG
업계	업계/NNG
개발자들이	개발자/NNP+들/XSN+이/JKS
활용할	활용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VV+는/ETM
소프트웨어	소프트웨어/NNP
개발도구(SDK·Software	개발/NNG+도구/NNP+(/SS+SDK/SL+·/SP+Software/SL
Development	Development/SL
Kit)인	Kit/SL+)/SS+이/VCP+ㄴ/ETM
‘삼성	‘/SS+삼성/NNP
디지털	디지털/NNP
헬스	헬스/NNG
플랫폼’	플랫폼/NNP+’/SS
및	및/MAJ
‘삼성디지털	‘/SS+삼성/NNP+디지털/NNP
헬스	헬스/NNG
SDK’를	SDK/SL+’/SS+를/JKO
처음	처음/NNG
공개했다.	공개/NNG+하/XSV+았/EP+다/EM+./SF
이날	이날/NNG
김인경이	김인경/NNP+이/JKS
기록한	기록/NNG+하/XSV+ㄴ/ETM
유일한	유일한/NNP
보기였다.	보/VV+기/ETN+이/VCP+었/EP+다/EM+./SF
우습기만하고	우습/VA+기/ETN+만/JX+하/VV+고/EM
쓸	쓰/VV+ㄹ/ETM
데	데/NNB
없는	없/VA+는/ETM
연구에	연구/NNG+에/JKB
주는	주/VX+는/ETM
상이라고	상/NNG+이/VCP+라고/EM
생각하면	생각/NNG+하/XSV+면/EM
오산.	오산/NNP+./SF
전월	전월/NNG
대비	대비/NNG
수입물가	수입/NNG+물가/NNG
상승률은	상승/NNG+률/XSN+은/JX
지난해	지난해/NNG
10월	10월/NNP
4.1%를	4/SN+./SF+1/SN+%/SW+를/JKO
기록한	기록/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
원유	원유/NNP
등	등/NNB
국제	국제/NNG
원자재값	원자재/NNG+값/NNG
하락으로	하락/NNG+으로/JKB
11월	11월/NNP
-6.6%,	-/SS+6/SN+./SF+6/SN+%/SW+,/SP
12월	12월/NNP
-5.7%,	-/SS+5/SN+./SF+7/SN+%/SW+,/SP
올해	올해/NNG
1월	1월/NNP
-1.8%	-/SS+1/SN+./SF+8/SN+%/SW
등으로	등/NNB+으로/JKB
하락세를	하락세/NNG+를/JKO
보였다.	보이/VV+었/EP+다/EM+./SF
확진환자를	확진/NNG+환자/NNG+를/JKO
진료한	진료/NNG+하/XSV+ㄴ/ETM
최강원	최/NNP+강원/NNP
국군수도병원	국군수도병원/NNP
감염내과	감염/NNP+내과/NNP
과장(전	과장/NNG+(/SS+전/NNP
서울대	서울대/NNP
의대	의대/NNG
교수)은	교수/NNG+)/SS+은/JX
“첫	“/SS+첫/MM
확진환자는	확진/NNG+환자/NNP+는/JX
현재	현재/MAG
가벼운	가볍/VA+ㄴ/ETM
기침만	기침/NNP+만/JX
있을	있/VV+을/ETM
뿐	뿐/NNB
사실상	사실/NNG+상/XSN
완치	완치/NNG
상태”라고	상태/NNG+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EM+./SF
1938년	1938/SN+년/NNB
설립된	설립/NNG+되/XSV+ㄴ/ETM
이	이/MM
방송사는	방송사/NNG+는/JX
3개의	3/SN+개/NNB+의/JKG
텔레비전	텔레비전/NNP
채널과	채널/NNP+과/JKB
4개의	4/SN+개/NNB+의/JKG
라디오	라디오/NNP
채널을	채널/NNG+을/JKO
갖고	갖/VV+고/EM
있다.	있/VX+다/EM+./SF
산업연수생이	산업/NNG+연수/NNG+생/XSN+이/JKS
국내로	국내/NNG+로/JKB
들어오기	들어오/VV+기/ETN
전에	전/NNG+에/JKB
대학을	대학/NNG+을/JKO
통해	통하/VV+아/EM
체계적인	체계/NNG+적/XSN+이/VCP+ㄴ/ETM
한국어와	한국어/NNP+와/JKB
한국문화를	한국/NNP+문화/NNG+를/JKO
교육받는	교육/NNG+받/VV+는/ETM
